route_no,total_demand,required_buses,bus_stops_covered
134A,484,12,"MOGAPAIR WEST, MOGAPAIR EAST,  FIRE STATION,  THIRUMANGALAM,  ANNA NAGAR CIRCLE,  KILPAUK GARDEN,  KELLEYS,  DOVETON,  CENTRAL,  REGAL,  V. NAGAR,  MAHARANI,  TONDAIAYRPET,  THANGAL,  THIRUVOTRIYUR TEMPLE, THIRUVETRIYUR B.S"
138,1471,36,"ENNORE, ASHOK LAYLAND,  ERNAVOOR GATE,  THIRUVETRIYUR B.S,  THRUVOTRIYUR TEMPLE,  THANGAL,  TONDAIAYRPET,  THEAGARAYA COLLEGE,  V. NAGAR,  VYASARPADI,  MAHAKAVI BHARATHI NAGAR,  SIDCO,  MOSQUE, MUTHAMIL NAGAR"
138C,1471,36,"T.V.K.NAGAR, VEENUS,  PERAMBUR R.S,  GANESH PURAM,  P1.POLICE STATION,  CHOOLAI P.O,  CENTRAL,  P.OR & SONS, V.HOUSE"
15,1477,36,"BROADWAY, CENTRAL,  DASAPRAKASH,  TAYLORS ROAD,  AMINIJIKARAI,  BRINDAVAN COLONY, ANNA NAGAR"
154,1479,36,"T.NAGAR, SAIDAPET,  CONCORDE,  GUINDY R.S,  BUTT ROAD,  RAMAPURAM,  MOGALIVAKKAM / MARI AMMN,  PORUR,  AYYAPPAN THANGAL,  KUMUNANCHAVADI,  MANGADU, PATTUR"
154B,1464,36,"NANGANALLUR, CHIDAMBARAM STORES,  VANUVAMBEDU,  ST THOMAS MOUNT R.S,  BURIAL GROUND,  ST THOMAS MOUNT PO,  BUTT ROAD,  RAMAPURAM,  MOGALIVAKKAM,  PORUR,  AYYAPPAN THANGAL,  KUMUNANCHAVADI, POONAMALLEE"
156A,1457,36,"V. NAGAR, THEAGARAYA COLLEGE,  TONDAIAYRPET,  THANGAL,  THIRUVOTRIYUR TEMPLE,  THIRUVETRIYUR B.S,  I.C.I.,  ASHOK LEYLAND MARK.DIV., ENNORE"
159B,1462,36,"TOLLGATE, TONDAIAYRPET,  THEAGARAYA COLLEGE,  V. NAGAR,  REGAL,  CHOOLAI P.O,  MILLERS ROAD,  TAYLORS ROAD,  AMINIJIKARAI,  NADUVANKARAI,  ARUMBAKKAM, C.M.B.T."
159C,971,24,"THIRUVETRIYUR B.S, THRUVOTRIYUR TEMPLE,  THANGAL,  TONDAIAYRPET,  THEAGARAYA COLLEGE,  V. NAGAR,  REGAL,  CHOOLAI P.O,  LADY MCTM SCHOOL/MILLERS,  TAYLORS ROAD,  AMINIJIKARAI,  NADUVANKARAI,  ARUMBAKKAM,  KOYAMBEDU P.S, KOYMABEDU MARKET"
159D,1454,36,"I.O.C, TONDAIAYRPET,  THEAGARAYA COLLEGE,  V. NAGAR,  REGAL,  CHOOLAI P.O,  LADY MCTM SCHOOL/MILLERS,  TAYLORS ROAD,  AMINIJIKARAI,  NADUVANKARAI,  ARUMBAKKAM, C.M.B.T."
159E,1461,36,"ENNORE, THAZHANKUPPAM,  KOTHARI,  ASHOK LEYLAND MARK.DIV.,  I.C.I.,  THIRUVETRIYUR B.S,  THRUVOTRIYUR TEMPLE,  THANGAL,  TONDAIAYRPET,  THEAGARAYA COLLEGE,  V. NAGAR,  REGAL,  CHOOLAI P.O,  LADY MCTM SCHOOL/MILLERS,  TAYLORS ROAD,  AMINIJIKARAI,  NADUVANKARAI,  ARUMBAKKAM, C.M.B.T."
15F,1477,36,"BROADWAY, CENTRAL,  DASAPRAKASH,  TAYLORS ROAD,  AMINIJIKARAI,  NADUVANKARAI,  ARUMBAKKAM,  C.M.B.T.,  KOYAMBEDU P.S,  KOYAMBEDU P.S,  CHINMAYA NAGAR,  VIRUGAMBAKKAM, VADAPALANI B.S"
15FCT,984,24,"BROADWAY, CENTRAL,  DASAPRAKASH,  TAYLORS ROAD,  AMINIJIKARAI,  NADUVANKARAI,  ARUMBAKKAM,  KOYAMBEDU P.S,  KOYMABEDU MARKET, KOYMABEDU MARKET"
15FNS,981,24,"PARRYS, CENTRAL,  DASAPRAKASH,  TAYLORS ROAD,  AMINIJIKARAI,  NADUVANKARAI,  ARUMBAKKAM,  KOYAMBEDU P.S,  KOYMABEDU MARKET, KOYMABEDU MARKET"
15G,1481,37,"BROADWAY, CENTRAL,  DASAPRAKASH,  TAYLORS ROAD,  AMINIJIKARAI,  JN. OF R.GARDEN & PEVR H., M.M.D.A.COLONY"
17B,1471,36,"BROADWAY, CENTRAL,  P.OR & SONS,  T.V.S,  GEMINI P.H,  VETERINARY HOSPITAL,  TRUSTPURAM,  VADAPALANI B.S,  VIRUGAMBAKKAM,  VIRUGAMBAKKAM,  VALASARAVAKKAM,  PORUR,  MOULIVAKKAM,  PARANIPUTHUR, MANGADU"
17BCT,971,24,"11, KOYAMBEDU P.S,  M.M.D.A.COLONY RD.JN.,  VADAPALANI B.S,  VIRUGAMBAKKAM,  VALASARAVAKKAM,  PORUR,  MOULIVAKKAM,  PARANIPUTHUR, MANGADU"
17C,984,24,"BROADWAY, CENTRAL,  EGMORE,  MATERNITY HOSPITAL,  D.P.I,  STERLING ROAD,  VETERINARY HOSPITAL,  TRUSTPURAM,  VADAPALANI B.S,  VADAPALANI B.S,  VIRUGAMBAKKAM,  VALASARAVAKKAM,  PORUR, AYYAPPAN THANGAL"
17D,984,24,"BROADWAY, CENTRAL,  EGMORE,  MATERNITY HOSPITAL,  D.P.I,  STERLING ROAD,  VETERINARY HOSPITAL,  TRUSTPURAM,  PUDUR HIGH SCHOOL,  PUDUR HIGH SCHOOL,  Jn.OF P.T.R Rd/KAMARAJ Rd,  MUTHUMARIAMMAN KOIL, KALAIGNAR NAGAR"
18,1457,36,"HIGH COURT, CENTRAL,  P.OR & SONS,  T.V.S,  D.M.S,  S.H.B,  SAIDAPET,  CONCORDE,  GUINDY TVK ESTATE, GUINDY TVK ESTATE"
188C,1456,36,"HIGH COURT, CENTRAL,  P.OR & SONS,  T.V.S,  D.M.S,  S.H.B,  SAIDAPET,  CONCORDE,  GUINDY TVK ESTATE,  GUINDY TVK ESTATE,  BUTT ROAD,  JN.OFPORUR POONAM WITH MA,  MANAPAKKAM P.U.O,  MANAPAKKAM VILLAGE,  KOLAPAKKAM,  MURUGAN KOIL / GIRUGAMBAK,  PERIYAPANICHERI,  THANDALAM RD JN., KUNDRATHUR B.S"
18A,1466,36,"HIGH COURT, CENTRAL,  PERIYAR BRIDGE,  T.V.S,  D.M.S,  S.H.B,  SAIDAPET,  CONCORDE,  GUINDY R.S,  GUINDY R.S,  ST THOMAS MOUNT PO,  MENAMABAKKAM OLD AIRPORT,  THIRUSOOLAM NATIONAL AIRP,  PALLAVARAM,  CHROMPET,  T.B.SANATORIUM, TAMBARAM"
18ANS,1466,36,"HIGH COURT, CENTRAL,  PERIYAR BRIDGE,  T.V.S,  D.M.S,  S.H.B,  SAIDAPET,  GUINDY R.S,  GUINDY R.S,  ST THOMAS MOUNT PO,  MENAMABAKKAM OLD AIRPORT,  THIRUSOOLAM NATIONAL AIRP,  PALLAVARAM,  CHROMPET,  T.B.SANATORIUM, TAMBARAM"
18L,1461,36,"TAMBARAM, IRUMBULIYUR,  PERUNGULATHUR,  VANDALOOR,  VANDALOOR ZOO,  OORAPAKKAM SCHOOL,  PALAKKA COMPANY,  GUDUVANCHERY,  GUDUVANCHERY,  JN.OF MAMBAKKAM RD & ATAN, MADAMBAKKAM"
